Item,Year,Value
Rice,2000,2850.8
Rice,2001,3115.8
Rice,2002,2616.3
Rice,2003,3117.7
Rice,2004,2975.6
Rice,2005,3153.7
Rice,2006,3175.9
Rice,2007,3292.4
Rice,2008,3250.9
Rice,2009,3236.6
Rice,2010,3358.7
Rice,2011,3587.8
Rice,2012,3690.9
Rice,2013,3624.3
Rice,2014,3586.8
Rice,2015,3600.2
Rice,2016,3740.1
Rice,2017,3863.7
Rice,2018,3956.7
Rice,2019,4083.6
Rice,2020,4075.7
Rice,2021,4196.2
Rice,2022,4257.1
Rice,2023,4322.3
Wheat,2000,2778.5
Wheat,2001,2708.1
Wheat,2002,2762.1
Wheat,2003,2610
Wheat,2004,2713.2
Wheat,2005,2601.6
Wheat,2006,2618.8
Wheat,2007,2707.9
Wheat,2008,2802.2
Wheat,2009,2907.1
Wheat,2010,2839.5
Wheat,2011,2988.6
Wheat,2012,3177.5
Wheat,2013,3153.8
Wheat,2014,3145.7
Wheat,2015,2749.6
Wheat,2016,3033.9
Wheat,2017,3199.9
Wheat,2018,3368.2
Wheat,2019,3533.4
Wheat,2020,3439.8
Wheat,2021,3520.8
Wheat,2022,3537.3
Wheat,2023,3520.7
Maize,2000,1821.6
Maize,2001,1999.6
Maize,2002,1680.7
Maize,2003,2040.5
Maize,2004,1907.3
Maize,2005,1938.5
Maize,2006,1912.5
Maize,2007,2335.2
Maize,2008,2414
Maize,2009,2023.8
Maize,2010,2540.1
Maize,2011,2478.4
Maize,2012,2555.7
Maize,2013,2572.6
Maize,2014,2572.6
Maize,2015,2610.7
Maize,2016,2597.2
Maize,2017,2688.6
Maize,2018,3065.3
Maize,2019,3070.2
Maize,2020,3006.1
Maize,2021,3199.3
Maize,2022,3387.2
Maize,2023,3544.9
Cotton,2000,597.9
Cotton,2001,583.6
Cotton,2002,597.4
Cotton,2003,960
Cotton,2004,993.3
Cotton,2005,1132.6
Cotton,2006,1315.1
Cotton,2007,1461.3
Cotton,2008,1257.6
Cotton,2009,1237.7
Cotton,2010,1594
Cotton,2011,1574.8
Cotton,2012,1517.4
Cotton,2013,1617.9
Cotton,2014,1413.1
Cotton,2015,1343.1
Cotton,2016,1598.2
Cotton,2017,1401.9
Cotton,2018,1164.5
Cotton,2019,1471.2
Cotton,2020,1315.7
Cotton,2021,1294.9
Cotton,2022,1212.5
Cotton,2023,1268.7
Cashew,2000,758
Cashew,2001,642.9
Cashew,2002,626.7
